"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","2/4","51/11009",0.00012550293804685,0.00284778187002936,0.00066614780585482,"GEMIN4/DDX20",2
"R-HSA-191859","snRNP Assembly","2/4","53/11009",0.000135608660477588,0.00284778187002936,0.00066614780585482,"GEMIN4/DDX20",2
"R-HSA-194441","Metabolism of non-coding RNA","2/4","53/11009",0.000135608660477588,0.00284778187002936,0.00066614780585482,"GEMIN4/DDX20",2
"R-HSA-9705683","SARS-CoV-2-host interactions","2/4","203/11009",0.00198112140787432,0.0203710778497043,0.00476516440928755,"GEMIN4/DDX20",2
"R-HSA-9694516","SARS-CoV-2 Infection","2/4","299/11009",0.00425434974060689,0.0203710778497043,0.00476516440928755,"GEMIN4/DDX20",2
"R-HSA-179812","GRB2 events in EGFR signaling","1/4","13/11009",0.00471568966912173,0.0203710778497043,0.00476516440928755,"EGFR",1
"R-HSA-8847993","ERBB2 Activates PTK6 Signaling","1/4","13/11009",0.00471568966912173,0.0203710778497043,0.00476516440928755,"EGFR",1
"R-HSA-180336","SHC1 events in EGFR signaling","1/4","14/11009",0.00507774289223217,0.0203710778497043,0.00476516440928755,"EGFR",1
"R-HSA-5637810","Constitutive Signaling by EGFRvIII","1/4","15/11009",0.00543969732865179,0.0203710778497043,0.00476516440928755,"EGFR",1
"R-HSA-5637812","Signaling by EGFRvIII in Cancer","1/4","15/11009",0.00543969732865179,0.0203710778497043,0.00476516440928755,"EGFR",1
